"Step","Name: ppo_me_neg30p10 - Training/objective_proportion","Name: ppo_me_neg30p10 - Training/objective_proportion__MIN","Name: ppo_me_neg30p10 - Training/objective_proportion__MAX","Name: ppo_me_neg30p100 - Training/objective_proportion","Name: ppo_me_neg30p100 - Training/objective_proportion__MIN","Name: ppo_me_neg30p100 - Training/objective_proportion__MAX","Name: ppo_me30 - Training/objective_proportion","Name: ppo_me30 - Training/objective_proportion__MIN","Name: ppo_me30 - Training/objective_proportion__MAX"
"138","0.040767386091127115","0.03597122302158274","0.05035971223021586","0.07434052757793765","0.07194244604316548","0.07913669064748201","0.03836930455635492","0.03597122302158274","0.043165467625899276"
"139","0.04285714285714287","0.03571428571428572","0.057142857142857176","0.07380952380952381","0.07142857142857144","0.07857142857142857","0.04047619047619048","0.03571428571428572","0.04285714285714287"
"140","0.042553191489361715","0.03546099290780142","0.0567375886524823","0.07328605200945627","0.07092198581560284","0.07801418439716312","0.04018912529550828","0.03546099290780142","0.042553191489361715"
"141","0.04225352112676058","0.035211267605633804","0.05633802816901412","0.0727699530516432","0.07042253521126761","0.07746478873239437","0.04225352112676056","0.035211267605633804","0.049295774647887335"
"142","0.04428904428904431","0.03496503496503497","0.06293706293706297","0.0745920745920746","0.06993006993006994","0.08391608391608392","0.04195804195804196","0.03496503496503497","0.04895104895104896"
"143","0.04398148148148149","0.034722222222222224","0.06250000000000003","0.07407407407407408","0.06944444444444445","0.08333333333333334","0.041666666666666664","0.034722222222222224","0.04861111111111112"
"144","0.04367816091954024","0.034482758620689655","0.062068965517241406","0.0735632183908046","0.06896551724137931","0.08275862068965519","0.041379310344827586","0.034482758620689655","0.048275862068965524"
"145","0.04337899543378996","0.03424657534246575","0.06164383561643838","0.0730593607305936","0.0684931506849315","0.08219178082191782","0.0410958904109589","0.03424657534246575","0.04794520547945206"
"146","0.04308390022675738","0.03401360544217687","0.061224489795918394","0.07256235827664399","0.06802721088435373","0.0816326530612245","0.04081632653061224","0.03401360544217687","0.04761904761904762"
"147","0.0427927927927928","0.03378378378378378","0.060810810810810835","0.07207207207207207","0.06756756756756756","0.08108108108108109","0.040540540540540536","0.03378378378378378","0.0472972972972973"
